time_utc,station_id,NO_ug_per_m3,RH_%,SO2_ug_per_m3,era5_blh,era5_ssrd,SR_W_per_mt2,NH3_ug_per_m3,latitude,BP_mmHg,NOx_ppb,AT_degree_C,era5_rh,era5_tp_rolling24,ssrd,PM10_ug_per_m3,WS_m_per_s,d2m,longitude,SSEXTTAU,wind_speed_rolling24
2022-12-02 00:00:00+00:00,DL029,424.33,86.65,4.93,22.310669,0.0,3.23,39.7,28.5,992.83,467.95,18.9,85.69386162117306,0.0,0.0,300.0,0.47,9.695343017578123,77.25,0.0030633179,2.112829238176346
2022-12-02 01:00:00+00:00,DL029,410.15,87.58,4.67,25.758087,0.0,3.15,59.75,28.5,992.52,449.88,18.65,91.67434948511726,0.0,0.0,301.25,0.47,9.4898681640625,77.25,0.0031804678,2.132266119122505
2022-12-02 02:00:00+00:00,DL029,322.2,88.2,3.1,30.040207,0.0,3.2,49.6,28.5,992.2,355.9,18.38,92.74057110781014,0.0,13.013333,296.75,0.53,10.04327392578125,77.25,0.0033126294,2.0950564990441003
2022-12-02 03:00:00+00:00,DL029,302.45,88.72,3.77,30.567276,0.0,3.28,47.22,28.5,992.1,337.95,18.18,91.4554276388645,0.0,149.6,266.0,0.53,10.11798095703125,77.25,0.0034529122,2.051310380299886
2022-12-02 04:00:00+00:00,DL029,223.18,89.08,3.7,31.6362,0.0,3.4,44.98,28.5,992.07,260.82,18.1,92.68773114797511,0.0,336.48,249.5,0.57,12.037353515625,77.25,0.003537113,1.9837052846948309
2022-12-02 05:00:00+00:00,DL029,88.1,88.88,2.35,31.185883,0.0,3.43,43.1,28.5,992.35,130.7,18.15,93.14378113815388,0.0,496.55112,256.75,0.65,13.31280517578125,77.25,0.0035366593,1.8921960567434628
2022-12-02 06:00:00+00:00,DL029,93.38,88.67,2.0,29.725876,0.0,3.6,40.38,28.5,992.9,129.25,17.88,92.98058610984164,0.0,605.2622,258.5,0.5,11.96484375,77.25,0.00349437,1.798847382267316
2022-12-02 07:00:00+00:00,DL029,131.95,89.08,3.35,26.70993,13.013333,23.0,39.77,28.5,993.8,170.22,17.98,91.11714591536642,0.0,649.56445,241.5,0.53,11.451324462890623,77.25,0.0033738976,1.714841939508915
2022-12-02 08:00:00+00:00,DL029,83.68,80.95,3.53,46.66243,149.6,97.17,42.5,28.5,994.42,138.12,20.0,87.41112828473551,0.0,626.4533,263.0,0.65,10.704681396484377,77.25,0.0033300193,1.6343919585148494
2022-12-02 09:00:00+00:00,DL029,57.62,66.33,3.6,109.357635,336.48,138.5,49.3,28.5,994.88,123.55,22.35,83.06556751280206,0.0,540.05334,309.25,0.35,10.578857421875,77.25,0.0033397211,1.5516137306888895
2022-12-02 10:00:00+00:00,DL029,32.15,55.45,4.42,253.12079,496.55112,174.45,53.0,28.5,994.83,105.6,24.9,61.61610972301506,0.0,391.1111,323.75,0.42,13.4140625,77.25,0.0033611283,1.482053965330124
2022-12-02 11:00:00+00:00,DL029,11.7,50.12,5.05,707.35767,605.2622,256.62,54.5,28.5,994.5,72.85,26.35,50.48046686185364,0.0,210.54222,318.0,0.55,12.614471435546877,77.25,0.0046905098,1.4476689100265503
2022-12-02 12:00:00+00:00,DL029,5.22,45.47,4.37,993.32324,649.56445,307.33,54.2,28.5,993.5,37.33,27.35,46.93289259322313,0.0,42.204445,262.5,0.65,13.960601806640623,77.25,0.0047034766,1.3799422681331637
2022-12-02 13:00:00+00:00,DL029,3.32,43.3,6.47,1086.1702,626.4533,259.72,49.28,28.5,992.35,30.28,27.77,40.0898846011327,0.0,0.0,191.75,0.7,14.0260009765625,77.25,0.0046711364,1.3122803159058094
2022-12-02 14:00:00+00:00,DL029,3.1,43.85,6.42,1135.1079,540.05334,168.85,48.85,28.5,991.7,26.6,27.6,39.03945894750667,0.0,0.0,182.75,0.85,13.98236083984375,77.25,0.0051796385,1.2744566537439823
2022-12-02 15:00:00+00:00,DL029,2.58,45.12,6.33,1113.0464,391.1111,99.57,48.8,28.5,991.25,31.6,27.25,54.95401097837572,0.0,0.0,186.5,0.85,12.974822998046877,77.25,0.0051941536,1.2552846632897854
2022-12-02 16:00:00+00:00,DL029,18.83,52.93,5.9,178.47746,210.54222,33.93,50.23,28.5,991.15,75.85,25.55,52.41536503474195,0.0,0.0,207.5,0.38,12.826873779296877,77.25,0.0051999944,1.242771425594886
2022-12-02 17:00:00+00:00,DL029,155.4,65.8,4.75,14.723947,42.204445,5.52,49.38,28.5,991.33,238.38,23.1,57.8538458499689,0.0,0.0,297.75,0.33,12.332611083984377,77.25,0.0052465997,1.231511974086364
2022-12-02 18:00:00+00:00,DL029,353.8,73.28,5.77,11.54167,0.0,3.28,51.15,28.5,992.05,403.0,21.83,64.18285694867122,0.0,0.0,413.5,0.4,12.1922607421875,77.25,0.0052931695,1.213219949354728
